model_name,losses,accuracy,BLEU,ROUGE,EMB_SIZE,HID_SIZE,learning_rate,teacher_forcing_ratio,training_time_sec
seq2seq_en-fr_v1.pth,"[1.0060264071059322, 0.30511118890100036, 0.22700636352681672, 0.18715855830030353, 0.16369414301613835]","[0.7407568496021908, 0.9185047790149574, 0.939122807054604, 0.9494168474962866, 0.9553710181341419]","[0.6954316550237735, 0.9186214939461719, 0.9379160903050986, 0.947255307763488, 0.9512395864112735]","[0.8318216567692773, 0.969590654589547, 0.9778589696558436, 0.9815466677131015, 0.9836249635488401]",128,64,0.001,0.0,1335.490897655487
seq2seq_en-fr_v2.pth,"[0.5852650968674126, 0.09367952553125528, 0.0656645551480758, 0.051175708849160916, 0.045175635260813904]","[0.8647707677559117, 0.9769534814197844, 0.9841748523962359, 0.9875652956397579, 0.9890137153351656]","[0.667018072893822, 0.823738064835686, 0.8382797095056452, 0.8408961155440496, 0.8369033110355443]","[0.8640127219780426, 0.9781746700777867, 0.985166988882763, 0.9880494322625891, 0.9896006625786173]",128,64,0.001,0.5,1214.1011762619019
seq2seq_en-fr_v3.pth,"[0.36802760389601363, 0.03993725124561285, 0.026319022224326704, 0.020633975239050643, 0.017470678366443997]","[0.9116372040821037, 0.9878043580634266, 0.991762825457556, 0.9932508495446529, 0.9942380707180308]","[0.6043127786188358, 0.7114357953802483, 0.7192031200301502, 0.7217127431817705, 0.7239352246579369]","[0.8919192070217533, 0.9829254754265396, 0.9873632870619273, 0.9889447390983966, 0.9896850615402807]",128,64,0.001,1.0,1220.9159326553345
seq2seq_en-fr_v4.pth,"[1.50247264651468, 0.41419342009039395, 0.28787429600124015, 0.23258078046419733, 0.19962597451362987]","[0.6207517588998479, 0.8912332260328572, 0.9237889464710755, 0.9380654071874861, 0.9469129549217428]","[0.5356776383269731, 0.88944790893247, 0.9174862337693955, 0.9308925891484334, 0.9373378585404496]","[0.7256468114952858, 0.9557630503430236, 0.9694727239934103, 0.975740706971944, 0.9797095447489024]",128,64,0.0005,0.0,1210.5578849315643
seq2seq_en-fr_v5.pth,"[1.0151421896401862, 0.15187887830378127, 0.0918461202288081, 0.06836890465078446, 0.055975199945700854]","[0.7698485077017196, 0.9661612985463426, 0.9785480568073583, 0.9840795759264875, 0.9868716054919968]","[0.5262958460631803, 0.8061605192032021, 0.8255295259887114, 0.8365707297006962, 0.8401686055941417]","[0.7599122019797877, 0.9660024046468653, 0.9769184278233048, 0.9814365296143537, 0.9829642869489896]",128,64,0.0005,0.5,1219.1326658725739
seq2seq_en-fr_v6.pth,"[0.6273270197538783, 0.0665253303828958, 0.03719884583625241, 0.026336634503208122, 0.02085028407787682]","[0.8633030411699669, 0.9842371433457441, 0.9904709441541707, 0.9927842831530437, 0.9940174546782802]","[0.5348730057668102, 0.70550904784172, 0.7164568914627736, 0.7214968301156486, 0.7237268953590498]","[0.8340681385142168, 0.9785753166135784, 0.9868726778269367, 0.9901129585497292, 0.9918280328731371]",128,64,0.0005,1.0,1223.3988604545593
seq2seq_en-fr_v7.pth,"[0.7555852517861112, 0.23558867793401767, 0.17368491849212336, 0.1410269369593567, 0.11936844149925585]","[0.8014792736957769, 0.9350785322638343, 0.9512658789240692, 0.9599866434517319, 0.9658300113038257]","[0.7836989250505615, 0.9342243648550308, 0.9436970358798645, 0.9501985203677273, 0.9533354494183064]","[0.8849635386998506, 0.9783050564578302, 0.9828820101170347, 0.9853289108045646, 0.9870515478792543]",128,128,0.001,0.0,2073.989629507065
seq2seq_en-fr_v8.pth,"[0.40704813621696134, 0.06691018215612822, 0.050034457884990766, 0.04206569722250835, 0.0357172453843319]","[0.905710201185587, 0.9835481151446702, 0.9876814411915176, 0.9896112275991094, 0.9912128484073289]","[0.7261317031786463, 0.8332075434770672, 0.8407021723508109, 0.8401731705030132, 0.8456462308212924]","[0.90588114155246, 0.9839711621965412, 0.9879114771615597, 0.9891055395390637, 0.9900451247121375]",128,128,0.001,0.5,2083.6230709552765
seq2seq_en-fr_v9.pth,"[0.26077624588503207, 0.028586183896347563, 0.01965104916382492, 0.015848718138457344, 0.013314469769937961]","[0.9390384031103344, 0.9913069683970253, 0.9936973571419543, 0.9947679047688474, 0.9955230938489186]","[0.6433582212756138, 0.7176141139197715, 0.7238790097781996, 0.7252429785596659, 0.726913510562397]","[0.924961426947487, 0.9880866580209539, 0.9912383219311027, 0.9925625045523576, 0.9937414648829009]",128,128,0.001,1.0,2085.162074327469
seq2seq_en-fr_v10.pth,"[1.0803606135162973, 0.2974875680509391, 0.2130883521145946, 0.17097374100228202, 0.14333648688532907]","[0.7238832386107793, 0.9192494986028936, 0.9414936160482436, 0.9531879950889671, 0.9605811230614657]","[0.6666082785615352, 0.9198808115114108, 0.9406653219628731, 0.9517985250844269, 0.957361944741156]","[0.810567376089194, 0.9701060742010483, 0.978782879891063, 0.9832319229564707, 0.9856098979130433]",128,128,0.0005,0.0,2071.4784817695618
seq2seq_en-fr_v11.pth,"[0.6506548097816639, 0.09464169837119409, 0.061066017886352, 0.04724768742663287, 0.039331588782036596]","[0.8555051962152215, 0.9777050053274265, 0.985563041612054, 0.9886912077810069, 0.9905419497319]","[0.6581986757214492, 0.8272809813592383, 0.8409531612851604, 0.8457172951821126, 0.8469993423820105]","[0.8547761441906875, 0.9790833247915393, 0.9864086541698878, 0.9893249730836017, 0.9908067801783416]",128,128,0.0005,0.5,2203.2637441158295
seq2seq_en-fr_v12.pth,"[0.4073548558889456, 0.0383862073561646, 0.024330227457626724, 0.018427762982314477, 0.015093976874472647]","[0.9071194899288123, 0.9887688878178474, 0.9925167133197937, 0.9940454561816755, 0.994997465920233]","[0.6005226318463528, 0.7136066287718569, 0.7208694626728309, 0.7238002962489263, 0.7258691854555064]","[0.8880101346422495, 0.9847955008124569, 0.9896391896946624, 0.9916533133645985, 0.992890928168185]",128,128,0.0005,1.0,2162.9644334316254
seq2seq_en-fr_v13.pth,"[0.9606876541274928, 0.3009339520554565, 0.22878880291900522, 0.19057712406018842, 0.1682996233030956]","[0.7531401745977485, 0.9194740042587514, 0.9384763914841925, 0.9486633975528408, 0.9543890458792829]","[0.7197695486039029, 0.917459718731435, 0.935204164546564, 0.9451118767341525, 0.9495874968557925]","[0.8462180849679878, 0.9686983090632976, 0.9764878414790339, 0.980626702228596, 0.9828094962469647]",256,64,0.001,0.0,1327.3249771595001
seq2seq_en-fr_v14.pth,"[0.5191410632670637, 0.09336342099085648, 0.06559703644829498, 0.05526687238372823, 0.047023061438727955]","[0.8843466532199025, 0.9777063101371308, 0.9842046564948287, 0.9867017715817361, 0.9885704254515838]","[0.6911912801376645, 0.8234998875602586, 0.8361877862787244, 0.8406720452022348, 0.8417058639513838]","[0.8829846096781735, 0.978536474245867, 0.9846785901688822, 0.9870974099148266, 0.9891103691527912]",256,64,0.001,0.5,1332.5638659000397
seq2seq_en-fr_v15.pth,"[0.3031338890285703, 0.03846815420964372, 0.026335481715460237, 0.021246000040824022, 0.018027303564524037]","[0.9253028432924281, 0.9881645720644496, 0.9916823406432783, 0.9930598113579723, 0.9940132448460492]","[0.6189800738611042, 0.7124127142373456, 0.718481745729169, 0.7212870348796726, 0.7233090557490421]","[0.9073433892100116, 0.98404218704782, 0.9884703214609937, 0.9901734269103234, 0.9912751036020221]",256,64,0.001,1.0,1334.3396444320679
seq2seq_en-fr_v16.pth,"[1.38492550926199, 0.37632627328684853, 0.2728317858211558, 0.22252215800278224, 0.19074029522140162]","[0.6521783916363628, 0.9020165721476331, 0.9278582561056147, 0.9408861267288752, 0.9494303273090862]","[0.5770277307359667, 0.9026634209308875, 0.9276015873736295, 0.9395745055614096, 0.9470764060413477]","[0.752032295565292, 0.9621846543653946, 0.9728099499305898, 0.9778452530473951, 0.9808968421934263]",256,64,0.0005,0.0,1329.4163529872894
seq2seq_en-fr_v17.pth,"[0.8173002733821815, 0.12310895561895256, 0.07858531822423286, 0.061086691769003, 0.05090696625448566]","[0.8172241551994943, 0.9718649614118287, 0.9816919480402739, 0.9857449822536063, 0.9879863904991663]","[0.6005338755402395, 0.8145657336777002, 0.8323744574038036, 0.8359917781571615, 0.8430667873806993]","[0.8127619148149624, 0.9723998084999868, 0.9817209478929154, 0.9858463237669209, 0.9879726686740634]",256,64,0.0005,0.5,1330.713450908661
seq2seq_en-fr_v18.pth,"[0.5195026119098818, 0.05728095596710551, 0.035019589664626975, 0.025688753013723885, 0.02055330397944097]","[0.8779649124944408, 0.9843771517542851, 0.9899828718802297, 0.9924533715164616, 0.9937761969615336]","[0.5513193877557224, 0.7046968003902943, 0.7157779080364631, 0.7208427018508384, 0.7226604570711385]","[0.8483263327432228, 0.9724494583894144, 0.9738189268781134, 0.9791543913084245, 0.983483061934586]",256,64,0.0005,1.0,1343.3863236904144
seq2seq_en-fr_v19.pth,"[0.7084484809184501, 0.22967973035767636, 0.16998628154644047, 0.14504366061855256, 0.12915438238966134]","[0.8122786668087512, 0.9365438190508376, 0.9526220764277977, 0.9586128294912929, 0.9631651672591693]","[0.7972944492262416, 0.9358413522611795, 0.9464051705920694, 0.9507616065306618, 0.9538171481984242]","[0.8950963311718637, 0.9773914274847196, 0.9820956323438912, 0.984009168398658, 0.9855627501293983]",256,128,0.001,0.0,2338.1305294036865
seq2seq_en-fr_v20.pth,"[0.35322109859965406, 0.06462614704417534, 0.04923692367358296, 0.04268714663200821, 0.03793134814003527]","[0.9213810436476063, 0.9846300697818708, 0.9881154363663275, 0.98970455864364, 0.9908352342876704]","[0.748519848148917, 0.8354345495319203, 0.8377699053776505, 0.8406941934520938, 0.8407167599436989]","[0.922364124216881, 0.984934698788006, 0.9879562889300743, 0.9897358317663604, 0.9909825726513397]",256,128,0.001,0.5,2328.0614018440247
seq2seq_en-fr_v21.pth,"[0.20077663731442602, 0.026705600950306167, 0.01997969942803517, 0.016598032057916483, 0.01451867432237803]","[0.9507937637436574, 0.9915298252754985, 0.9933936008679636, 0.9945223203709896, 0.9951381015277713]","[0.6598535946309466, 0.7192495327193558, 0.7219280220261782, 0.7240516399846186, 0.7262537927427881]","[0.9398727053911984, 0.9885778960150715, 0.9911966538041675, 0.9925187327799706, 0.9932782726495933]",256,128,0.001,1.0,2306.2251703739166
seq2seq_en-fr_v22.pth,"[0.9226492140195098, 0.2681517409264488, 0.19531872639536305, 0.15754760925556763, 0.1338742261947644]","[0.7627008460984556, 0.9275899723203699, 0.947195263084979, 0.9571274536394685, 0.9631812383688381]","[0.7345267046663126, 0.9286889137936807, 0.9456350259261608, 0.9537833222865577, 0.9590686340381595]","[0.8526902227629779, 0.9737190800152968, 0.9812788346692141, 0.9844370955767441, 0.9864835089914412]",256,128,0.0005,0.0,2293.031438589096
seq2seq_en-fr_v23.pth,"[0.507238717048135, 0.07934955196993658, 0.05640815964168733, 0.04442110563695075, 0.036823096345129376]","[0.886273512342632, 0.9810660128546904, 0.98644411308992, 0.9892543772728863, 0.991037540133873]","[0.6963320191288812, 0.8309926363041894, 0.8421592501366578, 0.8445214924724226, 0.8502487819366231]","[0.8835515949202708, 0.9818266446389627, 0.9870491007575793, 0.9898407307755948, 0.9912998096556533]",256,128,0.0005,0.5,2299.424519777298
seq2seq_en-fr_v24.pth,"[0.31364871059551797, 0.03436041619030843, 0.022131387623575385, 0.016930504800845677, 0.014095815002673678]","[0.9277200770598926, 0.9900147911042125, 0.9931493765413026, 0.9945013617408238, 0.9953717632985579]","[0.6282207127569412, 0.7155911662922714, 0.7215642838718083, 0.7246290077251524, 0.7257638819515667]","[0.9113766593373852, 0.9868688619276069, 0.9909637261949775, 0.992635322601223, 0.9935952376329813]",256,128,0.0005,1.0,2308.0263302326202
