model_name,losses,accuracy,BLEU,ROUGE,EMB_SIZE,HID_SIZE,learning_rate,teacher_forcing_ratio,training_time_sec
seq2seq_fr-en_v1.pth,"[0.5165427728464693, 0.04538189571113659, 0.03821748883564727, 0.03614006886031449, 0.03403062069422963]","[0.8679843746689935, 0.9772579990979962, 0.9786306460793462, 0.9791761129223873, 0.9796746003925885]","[0.5931067858451967, 0.7026674963338332, 0.7037229127600187, 0.7047501955769221, 0.7051355157638084]","[0.8718735857364589, 0.9749506435460893, 0.9756542419261613, 0.9730135728317324, 0.9733427617723726]",128,64,0.001,0.0,1289.8354277610779
seq2seq_fr-en_v2.pth,"[0.3629330311449793, 0.03864068976437935, 0.034223822368536175, 0.03362000723979596, 0.03224823620128359]","[0.9090467270850349, 0.9790883371529471, 0.9800024565111654, 0.9803065726564468, 0.980690008697542]","[0.6213266860637353, 0.7033262342157185, 0.705137962006174, 0.7058122259774352, 0.7062265568012097]","[0.8980623074827213, 0.9755635846423321, 0.9766923812947186, 0.9766402339936539, 0.9694409652452873]",128,64,0.001,0.5,1252.1090769767761
seq2seq_fr-en_v3.pth,"[0.31635447561898977, 0.03761041019017999, 0.03317256092244576, 0.031766587150695705, 0.030496898515456273]","[0.9190889615717773, 0.9797418409626836, 0.9807017928900245, 0.9809118043049383, 0.9813757037034192]","[0.622908818111679, 0.7041446509453241, 0.7057340835612715, 0.7062208533616016, 0.7068817672517271]","[0.8987707275222874, 0.9758278886525401, 0.9774510171621884, 0.9776164294377935, 0.97821216421996]",128,64,0.001,1.0,1329.9455862045288
seq2seq_fr-en_v4.pth,"[0.8394470210792373, 0.05788223159719328, 0.0411540210143285, 0.03673698566730482, 0.03492367511926422]","[0.7976679671799956, 0.9748853187167648, 0.9781534166206942, 0.9791256478394663, 0.9794327412961731]","[0.5155223955976335, 0.6991500273535515, 0.7034718179007452, 0.7046485619286954, 0.7051475007096559]","[0.8056505073884626, 0.9720565552574262, 0.9760387648360109, 0.9770564857374435, 0.9771276825067392]",128,64,0.0005,0.0,1213.2183277606964
seq2seq_fr-en_v5.pth,"[0.6483927481642254, 0.05012563619495861, 0.03795081826756938, 0.0343115761263459, 0.03285529729304959]","[0.8508187549331692, 0.9773759799511109, 0.9794940996017281, 0.9802632360043074, 0.9805445055856008]","[0.5466152157403034, 0.7007464055729333, 0.703906101363851, 0.7055992680137019, 0.7057933748717738]","[0.8317977525898136, 0.9732190170765836, 0.9764806218372437, 0.9776261810503657, 0.9780875027184418]",128,64,0.0005,0.5,1165.79363322258
seq2seq_fr-en_v6.pth,"[0.5173363200826101, 0.0440714772338596, 0.03450568608163957, 0.031837216599421965, 0.030543303766858515]","[0.8793476377066669, 0.9784165130719497, 0.980204761725487, 0.9808001574143752, 0.9812773852397298]","[0.5720890937877721, 0.7016319974989713, 0.7043509134260676, 0.7057667749092564, 0.7075550905159743]","[0.8521228110737643, 0.9740071796888135, 0.977022081589856, 0.9778088713159145, 0.9783832704517661]",128,64,0.0005,1.0,1167.5750007629395
seq2seq_fr-en_v7.pth,"[0.3496900957648393, 0.0387699711439138, 0.03704441517013414, 0.034991139163132214, 0.03452817969202047]","[0.904110971482535, 0.9781348653414965, 0.9788413825856651, 0.9791887340786102, 0.979504949163033]","[0.6283696051911075, 0.7033030478622865, 0.7033988128353015, 0.7044000299435732, 0.704621108261428]","[0.9066966489744231, 0.9756877903887647, 0.9762434569265274, 0.9763648007417073, 0.9763349968752322]",128,128,0.001,0.0,2107.377665042877
seq2seq_fr-en_v8.pth,"[0.24658932232122563, 0.03706872572354103, 0.03424377165690302, 0.03369245753408624, 0.03236906369098163]","[0.9337374314732895, 0.9792408639586385, 0.9799244251646831, 0.9800451585873404, 0.9805283507097535]","[0.6506733084825858, 0.7038107243003187, 0.7047930773299216, 0.7055295345084265, 0.7057522402725556]","[0.9257903302168828, 0.9764637041282028, 0.9772210283781183, 0.9772916242771694, 0.9775524112411702]",128,128,0.001,0.5,2355.30557847023
seq2seq_fr-en_v9.pth,"[0.20739646980524143, 0.034142870957461685, 0.032012824180340814, 0.030790660246855898, 0.030163392729054276]","[0.9432764590681463, 0.980170797525804, 0.9808138669375758, 0.9812466383633409, 0.9814758952175511]","[0.6568930080514016, 0.7047825515371915, 0.7057670334659742, 0.7067375624358505, 0.7072871216337036]","[0.9310124587752112, 0.9770090899380369, 0.9778343978893801, 0.9783397181542847, 0.9782650154661954]",128,128,0.001,1.0,2200.741975069046
seq2seq_fr-en_v10.pth,"[0.5006083154764313, 0.043726443262419985, 0.03820901884467635, 0.03531983538545589, 0.033425651488217974]","[0.8757965515787588, 0.9776620025266205, 0.9786890721098227, 0.9792747847054316, 0.9798489195953486]","[0.5929744081817675, 0.703015183646221, 0.7038889163185088, 0.7043513678826798, 0.7057266673789842]","[0.8732407888747681, 0.9750644098963979, 0.9762809677098386, 0.9768164521188505, 0.9773122215657015]",128,128,0.0005,0.0,2250.406831741333
