model_name,losses,accuracy,BLEU,EMB_SIZE,HID_SIZE,learning_rate,teacher_forcing_ratio,training_time_sec
seq2seq_lstm_v1.pth,"[1.0014558909683233, 0.3059759360122981, 0.22509971683454608, 0.18448948110169694, 0.16193741759092645]","[0.7415552878071254, 0.9176818258077083, 0.9393585620305446, 0.9498099346892281, 0.9554409894168471]","[0.7044281521631428, 0.9120947390617907, 0.9309842254678142, 0.939323364874203, 0.9442200534869988]",128,64,0.001,0.0,1007.943239212036
seq2seq_lstm_v2.pth,"[0.5851073109122383, 0.09478702659864444, 0.06500221294812877, 0.052880452445582225, 0.0442268560697332]","[0.8678386507525281, 0.9770831496437731, 0.9843446668627761, 0.9872123481060862, 0.9891390618926286]","[0.6678527125837272, 0.8215548258245834, 0.8354264337240296, 0.8390258336863091, 0.8391269894955259]",128,64,0.001,0.5,961.080418586731
seq2seq_lstm_v3.pth,"[0.8993008146235418, 0.23970038261985904, 0.17671242836536716, 0.14260917817136218, 0.12351004962515412]","[0.7805571775752247, 0.9392082302662075, 0.9554903678240326, 0.9643207523007343, 0.9688511009636069]","[0.7015483123263616, 0.892993232678154, 0.9065239339126837, 0.9182037030243972, 0.9231589227281364]",128,64,0.001,0.1,994.4824743270874
seq2seq_lstm_v4.pth,"[1.4581614947168833, 0.4013306897439912, 0.2828585084339984, 0.23052362711304694, 0.19538524389681988]","[0.63482203623747, 0.8943232925607277, 0.9249013410809754, 0.9381217544831147, 0.9476911590467305]","[0.5419860195681018, 0.8891432966053803, 0.9213761103733167, 0.9340460023648399, 0.9427274057327358]",128,64,0.0005,0.0,960.1463360786438
seq2seq_lstm_v5.pth,"[0.9289684616108314, 0.13495637511523237, 0.08790535535737477, 0.06764720394449007, 0.055050453606533475]","[0.7898193147498443, 0.9678336239176686, 0.9784064200063439, 0.9834282739215419, 0.9865225870507545]","[0.5634586569199147, 0.8087547340530233, 0.8262000282888232, 0.8341060032693411, 0.8408899964839422]",128,64,0.0005,0.5,921.2355179786682
seq2seq_lstm_v6.pth,"[1.3758853987373154, 0.33328160683103203, 0.22501600733822316, 0.18250196202057822, 0.15246299589645682]","[0.6669188950963241, 0.9188339598791285, 0.9440291913058844, 0.9545074886094299, 0.9620377692306957]","[0.5449208726538431, 0.87534520002341, 0.8982323843820966, 0.9063749426155512, 0.9124599887037965]",128,64,0.0005,0.1,922.015998840332
seq2seq_lstm_v7.pth,"[0.7603909513500546, 0.24090074324382554, 0.17609050160703751, 0.1447302601398994, 0.12341387041866661]","[0.7988749294044111, 0.9326864318356689, 0.9510417907893484, 0.9589729023239585, 0.9646809050319817]","[0.7749942684425873, 0.9331953641807921, 0.948843054222532, 0.9553805699372565, 0.9578958113003951]",128,128,0.001,0.0,1785.494743347168
seq2seq_lstm_v8.pth,"[0.40013151273714376, 0.0700235233453179, 0.05154138199542834, 0.042793644501380526, 0.034494990798359396]","[0.909130268719178, 0.9828843150673441, 0.9873724932477879, 0.989576119075007, 0.9913848190373079]","[0.7307406511417868, 0.8333852028457778, 0.8346476096643008, 0.8421264714684429, 0.8417616574366471]",128,128,0.001,0.5,1788.512418270111
seq2seq_lstm_v9.pth,"[0.6848252806812525, 0.18969696403705869, 0.1362991819926476, 0.11477476164367574, 0.094685931273783]","[0.832296325304584, 0.9530455664503503, 0.966176872705903, 0.9712808974889418, 0.9760971649120034]","[0.7688116687583222, 0.9091876300751529, 0.9259460443892927, 0.9382551488915233, 0.9492619518426637]",128,128,0.001,0.1,1792.8331921100616
seq2seq_lstm_v10.pth,"[1.1646258924996347, 0.31136712852855575, 0.21790734925542016, 0.1711320479323875, 0.14297671005900564]","[0.6981277905581035, 0.9158440514154027, 0.9400479137090502, 0.9523096387268171, 0.9598523252244529]","[0.611313823288635, 0.9163584692156161, 0.9378223956626146, 0.9484329072286328, 0.9561486052501534]",128,128,0.0005,0.0,1799.8171093463898
seq2seq_lstm_v11.pth,"[0.6546076401569128, 0.09523056445282635, 0.05982433666601105, 0.04837035336926955, 0.03876638979359533]","[0.8540093929800117, 0.9775045605973253, 0.9857701870453315, 0.9885225914746221, 0.9907286103105153]","[0.6504995831237599, 0.8258477870936494, 0.8383152247985658, 0.8453065186761578, 0.8468921652419016]",128,128,0.0005,0.5,1802.6744084358213
